sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1010913{}353301{}20110701 092518{}d{}36207984
1002413{}346795{}20110701 092532{}v{}361538
1008425{}351278{}20110701 092552{}d{}36233232
1009131{}351829{}20110701 092553{}d{}36279428
1009729{}352335{}20110701 092555{}d{}36280293
1005404{}348898{}20110701 092605{}d{}36109158
1005720{}349135{}20110701 092606{}d{}36176468
1006141{}349447{}20110701 092607{}d{}36182367
1006586{}349807{}20110701 092607{}d{}36194508
1009170{}351867{}20110701 092610{}d{}36279428
1002108{}346795{}20110701 092622{}v{}361538
1000615{}345698{}20110701 092626{}v{}361672
1008451{}351278{}20110701 092626{}d{}36233232
1006945{}350070{}20110701 092641{}d{}36194644
1010333{}352818{}20110701 092647{}d{}36233220
1000374{}345560{}20110701 092648{}v{}36109
1001139{}346114{}20110701 092659{}v{}361538
1002109{}346796{}20110701 092700{}v{}361538
1007968{}350879{}20110701 092728{}d{}36211695
1010150{}352634{}20110701 092740{}d{}36272959
1004845{}348506{}20110701 092741{}d{}36198097
1001140{}346115{}20110701 092819{}v{}361538
1009387{}352004{}20110701 092826{}d{}36227896
1003779{}347887{}20110701 092831{}d{}36122109
1010188{}352698{}20110701 092831{}d{}36233926
1003308{}347600{}20110701 092839{}d{}36191702
1001803{}346611{}20110701 092857{}v{}361538
1000867{}345896{}20110701 092859{}v{}361805
1005432{}348919{}20110701 092906{}d{}36136918
1001804{}346611{}20110701 092908{}v{}361538
1009332{}352004{}20110701 092916{}d{}36227896
1000998{}345995{}20110701 092929{}d{}36155389
1009295{}351970{}20110701 092939{}d{}36227757
1001478{}346389{}20110701 092942{}v{}361538
1010387{}352868{}20110701 092942{}d{}36233220
1009699{}352309{}20110701 092952{}d{}36272061
1002110{}346116{}20110701 093009{}v{}361538
1001805{}346389{}20110701 093011{}v{}361538
1007140{}350226{}20110701 093013{}d{}36184137
1009033{}351747{}20110701 093016{}d{}36297066
1001479{}346390{}20110701 093033{}v{}361538
1009702{}352139{}20110701 093034{}d{}36280294
1004511{}348277{}20110701 093042{}d{}36166533
1005290{}348823{}20110701 093042{}d{}36179535
1000407{}345598{}20110701 093043{}v{}361
1002111{}346797{}20110701 093047{}v{}361538
1009293{}351969{}20110701 093049{}d{}36227756
1004964{}348570{}20110701 093053{}d{}36177742
1004926{}348570{}20110701 093054{}d{}36177742
1008147{}351032{}20110701 093058{}d{}36235261
1001141{}346116{}20110701 093101{}v{}361538
1001806{}346390{}20110701 093116{}v{}361538
1005433{}348917{}20110701 093124{}d{}36136917
1000473{}345598{}20110701 093135{}v{}361
1009343{}352014{}20110701 093138{}d{}36227896
1008222{}351100{}20110701 093140{}d{}36215653
1003152{}347487{}20110701 093145{}d{}36107286
1001142{}346117{}20110701 093149{}v{}361538
1009494{}352139{}20110701 093202{}d{}36227897
1007695{}350637{}20110701 093203{}v{}36241
1005672{}349098{}20110701 093214{}d{}36176470
1002812{}347225{}20110701 093216{}d{}36107287
1007141{}350227{}20110701 093219{}d{}36184137
1004965{}348605{}20110701 093228{}d{}36177742
1010816{}353224{}20110701 093239{}d{}36218106
1005255{}348803{}20110701 093244{}d{}36136312
1008866{}351630{}20110701 093304{}d{}36270989
1010658{}353094{}20110701 093307{}d{}36222798
1000981{}345982{}20110701 093309{}d{}36155388
1000957{}345961{}20110701 093310{}d{}36155388
1002939{}347226{}20110701 093310{}d{}36107285
1010370{}352852{}20110701 093313{}d{}36233222
1003780{}347888{}20110701 093318{}d{}36122110
1010488{}352952{}20110701 093318{}d{}36233221
1002414{}346976{}20110701 093323{}v{}361538
1007455{}350459{}20110701 093329{}d{}36194459
1005429{}348917{}20110701 093343{}d{}36136918
1001480{}346391{}20110701 093344{}v{}361538
1000889{}345910{}20110701 093349{}v{}361415
1002813{}347226{}20110701 093350{}d{}36107285
1005643{}349073{}20110701 093350{}d{}36176470
1005700{}349099{}20110701 093410{}d{}36176470
1006564{}349766{}20110701 093424{}d{}36198188
1009460{}352110{}20110701 093424{}d{}36227896
1009736{}352342{}20110701 093445{}d{}36280294
1001143{}346118{}20110701 093448{}v{}361538
1005007{}348605{}20110701 093457{}d{}36177742
1008331{}351194{}20110701 093459{}d{}36213185
1004117{}348040{}20110701 093502{}d{}36109066
1006815{}349974{}20110701 093511{}d{}36194658
1005721{}349099{}20110701 093541{}d{}36176470
1005673{}349099{}20110701 093545{}d{}36176470
1007677{}350617{}20110701 093550{}v{}362307
1005362{}348022{}20110701 093559{}d{}36123040
1005959{}349312{}20110701 093601{}d{}36164957
1000687{}345748{}20110701 093606{}d{}36191714
1006140{}349446{}20110701 093610{}d{}36149852
1010698{}353126{}20110701 093611{}d{}36204683
1010160{}352673{}20110701 093612{}d{}36272958
1005269{}348803{}20110701 093613{}d{}36136312
1000802{}345748{}20110701 093616{}d{}36191713
1001144{}346119{}20110701 093618{}v{}361538
1000513{}345632{}20110701 093619{}v{}361
1000474{}345632{}20110701 093630{}v{}361
1006984{}350102{}20110701 093637{}d{}36194633
1005894{}349265{}20110701 093649{}d{}36139159
1005327{}348846{}20110701 093650{}d{}36107128
1007670{}350617{}20110701 093705{}v{}362307
1005347{}348861{}20110701 093711{}d{}36123039
1001807{}346405{}20110701 093718{}v{}361538
1007361{}350402{}20110701 093718{}d{}36150621
1006529{}349766{}20110701 093719{}d{}36198187
1001481{}346392{}20110701 093720{}v{}361538
1009308{}351981{}20110701 093724{}d{}36227895
1002415{}346397{}20110701 093734{}v{}361538
1001808{}346612{}20110701 093737{}v{}361538
1003153{}347488{}20110701 093739{}d{}36107285
1009081{}351788{}20110701 093740{}d{}36208474
1011078{}353442{}20110701 093744{}d{}36227687
1008460{}351283{}20110701 093750{}d{}36233232
1004440{}348221{}20110701 093752{}d{}36166532
1005674{}348692{}20110701 093814{}d{}36176469
1006747{}349925{}20110701 093818{}d{}36186607
1000393{}345588{}20110701 093823{}d{}36109880
1010911{}353299{}20110701 093832{}d{}36207982
1001145{}346120{}20110701 093838{}v{}361538
1001809{}346613{}20110701 093845{}v{}361538
1004169{}348069{}20110701 093845{}d{}36109870
1006712{}349904{}20110701 093847{}d{}36186596
1001482{}346393{}20110701 093949{}v{}361538
1000958{}345962{}20110701 093958{}d{}36155389
1008688{}349325{}20110701 094014{}d{}36287211
1000882{}345904{}20110701 094028{}d{}361046
1005184{}348751{}20110701 094036{}d{}36192714
1006857{}350003{}20110701 094038{}d{}36194658
1008226{}351104{}20110701 094041{}d{}36215652
1007984{}350892{}20110701 094053{}d{}36211696
1000663{}345729{}20110701 094058{}d{}36133898
1000890{}345904{}20110701 094102{}d{}361046
1004136{}347413{}20110701 094113{}d{}36109064
1005225{}348788{}20110701 094113{}d{}36192715
1003959{}347965{}20110701 094139{}d{}36122108
1001810{}346394{}20110701 094147{}v{}361538
1005933{}349292{}20110701 094201{}d{}36139159
1008904{}351654{}20110701 094209{}d{}36270989
1010100{}352634{}20110701 094209{}d{}36272047
1001483{}346394{}20110701 094215{}v{}361538
1008167{}351051{}20110701 094218{}d{}36215651
1006713{}349904{}20110701 094222{}d{}36186607
1003390{}347567{}20110701 094237{}d{}36103413
1009975{}352539{}20110701 094242{}d{}36272957
1009895{}352474{}20110701 094244{}d{}36272969
1010963{}353342{}20110701 094250{}d{}36207984
1005321{}348842{}20110701 094257{}d{}36136529
1007571{}349477{}20110701 094303{}d{}36195780
1004170{}347488{}20110701 094307{}d{}36109870
1009524{}352054{}20110701 094307{}d{}36280294
1007142{}350228{}20110701 094315{}d{}36184138
1001146{}346121{}20110701 094335{}v{}361538
1005557{}349023{}20110701 094349{}d{}36151535
1000982{}345983{}20110701 094412{}d{}36155388
1008431{}351283{}20110701 094423{}d{}36233232
1000619{}345698{}20110701 094424{}v{}361672
1007946{}350859{}20110701 094432{}d{}36211696
1002112{}346798{}20110701 094435{}v{}361538
1007266{}350327{}20110701 094443{}d{}36184138
1006640{}349847{}20110701 094445{}d{}36186595
1007496{}350492{}20110701 094445{}d{}36195778
1009459{}352109{}20110701 094450{}d{}36234189
1004060{}348011{}20110701 094453{}d{}36109066
1003874{}347926{}20110701 094516{}d{}36122110
1007392{}350420{}20110701 094516{}d{}36184685
1006313{}349590{}20110701 094527{}d{}36184332
1005895{}349266{}20110701 094533{}d{}36139159
1010997{}353369{}20110701 094539{}d{}36276649
1003504{}347734{}20110701 094540{}d{}36107569
1009928{}352501{}20110701 094543{}d{}36272023
1004061{}348012{}20110701 094549{}d{}36109066
1009881{}352461{}20110701 094556{}d{}36272957
1006272{}349556{}20110701 094606{}d{}36195273
1004118{}348012{}20110701 094607{}d{}36151146
1010746{}353169{}20110701 094607{}d{}36253968
1006173{}349477{}20110701 094610{}d{}36195275
1009967{}352534{}20110701 094610{}d{}36272957
1004535{}348293{}20110701 094619{}d{}36136503
1009703{}352054{}20110701 094622{}d{}36280294
1010410{}352889{}20110701 094626{}d{}36233221
1001484{}346395{}20110701 094628{}v{}361538
1000918{}345928{}20110701 094630{}v{}3617
1007225{}350225{}20110701 094633{}d{}36184137
1004966{}348605{}20110701 094639{}d{}36177742
1005517{}348989{}20110701 094652{}d{}36151535
1006600{}349815{}20110701 094717{}d{}36186606
1007497{}350493{}20110701 094732{}d{}36195779
1002940{}347324{}20110701 094733{}d{}36107287
1009541{}352176{}20110701 094743{}d{}36280293
1006174{}349478{}20110701 094751{}d{}36184333
1009392{}352054{}20110701 094759{}d{}36227897
1005785{}349185{}20110701 094801{}d{}36183808
1003328{}347616{}20110701 094802{}d{}36103413
1002416{}346392{}20110701 094811{}v{}361538
1007403{}349477{}20110701 094832{}d{}36195770
1002417{}346122{}20110701 094907{}v{}361538
1011014{}353382{}20110701 094910{}d{}36219029
1008495{}351330{}20110701 094916{}d{}36272554
1005779{}349179{}20110701 094919{}d{}36183807
1007732{}350671{}20110701 094925{}d{}36211695
1001811{}346614{}20110701 094926{}v{}361538
1006273{}349557{}20110701 094927{}d{}36195273
1005008{}348605{}20110701 094928{}d{}36177742
1008464{}351307{}20110701 094951{}d{}36233232
1003875{}347324{}20110701 094954{}d{}36122110
1002113{}346634{}20110701 095001{}v{}361538
1003876{}347800{}20110701 095036{}d{}36122108
1003781{}347889{}20110701 095048{}d{}36122110
1007456{}349477{}20110701 095100{}d{}36194459
1004321{}348150{}20110701 095106{}d{}36109868
1001812{}346615{}20110701 095110{}v{}361538
1003593{}347800{}20110701 095130{}d{}36122108
1005780{}349180{}20110701 095142{}d{}36183806
1004927{}348571{}20110701 095144{}d{}36177743
1006889{}350025{}20110701 095147{}d{}36194656
1006923{}350049{}20110701 095154{}d{}36195726
1001485{}346396{}20110701 095157{}v{}361538
1001042{}346026{}20110701 095221{}d{}36196289
1004799{}348472{}20110701 095223{}d{}36198098
1002814{}347207{}20110701 095233{}d{}36151188
1009119{}351818{}20110701 095234{}d{}36279428
1011097{}353457{}20110701 095245{}d{}36227685
1003154{}347489{}20110701 095301{}d{}36107286
1003960{}347966{}20110701 095308{}d{}36122110
1002941{}347325{}20110701 095309{}d{}36107286
1001033{}346026{}20110701 095314{}d{}36196289
1003155{}347489{}20110701 095324{}d{}36107286
1010959{}353339{}20110701 095343{}d{}36207984
1010591{}353037{}20110701 095345{}d{}36233222
1001813{}346616{}20110701 095349{}v{}361538
1009845{}352435{}20110701 095349{}d{}36272957
1001486{}346397{}20110701 095352{}v{}361538
1011060{}353424{}20110701 095440{}d{}36227686
1005054{}348664{}20110701 095443{}d{}36177742
1010198{}352707{}20110701 095443{}d{}36233927
1002815{}347227{}20110701 095444{}d{}36107287
1007740{}350679{}20110701 095445{}d{}36211694
1002418{}346800{}20110701 095455{}v{}361538
1008242{}351118{}20110701 095457{}d{}36233245
1002816{}347228{}20110701 095504{}d{}36107287
1008427{}351280{}20110701 095512{}d{}36247714
1004098{}347126{}20110701 095513{}d{}36109064
1000341{}345551{}20110701 095514{}v{}36109
1011067{}353431{}20110701 095517{}d{}36227686
1005518{}348990{}20110701 095520{}d{}36134964
1005722{}349136{}20110701 095534{}d{}36176468
1003298{}347591{}20110701 095550{}d{}36150618
1001487{}346398{}20110701 095559{}v{}361538
1005519{}348954{}20110701 095559{}d{}36151536
1005476{}348954{}20110701 095600{}d{}36151536
1005876{}349252{}20110701 095602{}d{}36139159
1001488{}346109{}20110701 095604{}v{}361538
1007938{}350852{}20110701 095607{}d{}36211696
1006748{}349926{}20110701 095609{}d{}36186606
1002114{}346799{}20110701 095610{}v{}361538
1001489{}346399{}20110701 095612{}v{}361538
1006714{}349905{}20110701 095618{}d{}36186607
1002115{}346800{}20110701 095621{}v{}361538
1001490{}346400{}20110701 095627{}v{}361538
1002116{}346109{}20110701 095634{}v{}361538
1010379{}352861{}20110701 095635{}d{}36233220
1007090{}350182{}20110701 095636{}d{}36184137
1010058{}352603{}20110701 095637{}d{}36272967
1003594{}347801{}20110701 095639{}d{}36122109
1006924{}350050{}20110701 095651{}d{}36194633
1006063{}349391{}20110701 095652{}d{}36123741
1008754{}351542{}20110701 095653{}d{}36236903
1009321{}351994{}20110701 095704{}d{}36227896
1002817{}347229{}20110701 095708{}d{}36107287
1006641{}349848{}20110701 095710{}d{}36186595
1006918{}349477{}20110701 095719{}d{}36195280
1003329{}347617{}20110701 095721{}d{}36109264
1007634{}350586{}20110701 095725{}d{}36184690
1004819{}348472{}20110701 095735{}d{}36198098
1001491{}346401{}20110701 095737{}v{}361538
1000762{}345816{}20110701 095740{}d{}36172759
1009189{}351884{}20110701 095745{}d{}36279427
1009450{}352102{}20110701 095748{}d{}36227897
1003702{}347851{}20110701 095756{}d{}36122108
1009126{}351825{}20110701 095814{}d{}36279427
1009805{}352397{}20110701 095832{}d{}36233230
1000726{}345784{}20110701 095837{}d{}36172759
1009592{}352217{}20110701 095840{}d{}36280292
1006416{}349668{}20110701 095842{}d{}36183915
1010806{}353215{}20110701 095857{}d{}36232884
1007389{}350419{}20110701 095905{}d{}36195283
1011026{}353391{}20110701 095925{}d{}36223157
1002818{}347230{}20110701 095932{}d{}36107285
1009334{}352006{}20110701 095932{}d{}36227896
1007498{}350494{}20110701 095933{}d{}36195779
1008543{}351369{}20110701 095934{}d{}36211699
1001147{}346122{}20110701 095947{}v{}361538
1009751{}352153{}20110701 095955{}d{}36280293
1007386{}349477{}20110701 100011{}d{}36195285
1002117{}346398{}20110701 100021{}v{}361538
1008375{}351235{}20110701 100022{}v{}362496
1002419{}346977{}20110701 100028{}v{}361538
1009640{}352257{}20110701 100035{}d{}36280292
1000546{}345664{}20110701 100037{}v{}361
1010858{}353255{}20110701 100038{}d{}36207983
1000547{}345664{}20110701 100042{}v{}361
1004217{}347489{}20110701 100048{}d{}36109869
1004787{}348464{}20110701 100056{}d{}36192085
1004402{}348186{}20110701 100100{}d{}36149739
1010950{}353334{}20110701 100112{}d{}36207984
1009980{}352543{}20110701 100128{}d{}36272025
1005938{}349295{}20110701 100143{}d{}36177112
1007371{}350409{}20110701 100143{}d{}36178185
1002942{}347326{}20110701 100144{}d{}36107285
1003156{}347490{}20110701 100144{}d{}36107287
1005976{}349325{}20110701 100148{}d{}36131930
1001148{}346123{}20110701 100156{}v{}361538
1001814{}346617{}20110701 100212{}v{}361538
1003054{}347414{}20110701 100230{}d{}36107286
1002420{}346123{}20110701 100231{}v{}361538
1000983{}345984{}20110701 100232{}d{}36155388
1010453{}352925{}20110701 100241{}d{}36233220
1003703{}347325{}20110701 100246{}d{}36122109
1004749{}348442{}20110701 100251{}d{}36192456
1003704{}347325{}20110701 100259{}d{}36122110
1003961{}347220{}20110701 100320{}d{}36122110
1002421{}346618{}20110701 100323{}v{}361538
1001815{}346618{}20110701 100324{}v{}361538
1005106{}348697{}20110701 100329{}d{}36177742
1005185{}348752{}20110701 100332{}d{}36192715
1008050{}350944{}20110701 100333{}d{}36211694
1010674{}353106{}20110701 100336{}d{}36222799
1006715{}349861{}20110701 100337{}d{}36186607
1004567{}348317{}20110701 100338{}d{}36194240
1005341{}348855{}20110701 100348{}d{}36136529
1001149{}346124{}20110701 100351{}v{}361538
1006816{}349975{}20110701 100403{}d{}36194658
1007686{}350629{}20110701 100414{}v{}362691
1006817{}349976{}20110701 100427{}d{}36194656
1010627{}353068{}20110701 100449{}d{}36233220
1007572{}350055{}20110701 100450{}d{}36195780
1009955{}352525{}20110701 100450{}d{}36272025
1009841{}352431{}20110701 100511{}d{}36272957
1005435{}348915{}20110701 100515{}d{}36183702
1006175{}349479{}20110701 100519{}d{}36184332
1002118{}346801{}20110701 100520{}v{}361538
1001816{}346619{}20110701 100545{}v{}361538
1007315{}350367{}20110701 100610{}d{}36150620
1004717{}348382{}20110701 100615{}d{}36192456
1009965{}352431{}20110701 100622{}d{}36272957
1005348{}348862{}20110701 100623{}d{}36175902
1009649{}352265{}20110701 100628{}d{}36280301
1008108{}350996{}20110701 100629{}d{}36211695
1003330{}347567{}20110701 100647{}d{}36119723
1008367{}351228{}20110701 100712{}d{}36209168
1010840{}353241{}20110701 100719{}d{}36207984
1009470{}352119{}20110701 100727{}d{}36209595
1008294{}351118{}20110701 100731{}d{}36233245
1010235{}352738{}20110701 100740{}d{}36234161
1009513{}352153{}20110701 100815{}d{}36280293
1011045{}353409{}20110701 100818{}d{}36247744
1010504{}352968{}20110701 100828{}d{}36233220
1008799{}351580{}20110701 100829{}d{}36272975
1006716{}349861{}20110701 100838{}d{}36186607
1006717{}349861{}20110701 100902{}d{}36186607
1002422{}346978{}20110701 100906{}v{}361538
1007391{}349477{}20110701 100918{}d{}36195765
1005055{}348571{}20110701 100924{}d{}36177743
1002423{}346802{}20110701 100927{}v{}361538
1008547{}351372{}20110701 100931{}v{}362513
1006718{}349906{}20110701 100939{}d{}36186607
1003055{}347415{}20110701 100958{}d{}36107286
1000583{}345670{}20110701 101023{}d{}36129297
1004403{}348187{}20110701 101023{}d{}36166533
1007404{}350426{}20110701 101029{}d{}36195780
1004441{}348187{}20110701 101030{}d{}36166531
1006397{}349652{}20110701 101034{}d{}36184543
1005199{}348764{}20110701 101050{}d{}36192715
1003962{}347802{}20110701 101055{}d{}36122109
1002819{}347231{}20110701 101125{}d{}36107285
1006674{}349861{}20110701 101135{}d{}36186607
1008251{}351126{}20110701 101140{}d{}36233244
1007091{}350183{}20110701 101148{}d{}36128090
1004119{}348041{}20110701 101155{}d{}36109064
1006749{}349927{}20110701 101155{}d{}36186596
1003391{}347654{}20110701 101200{}d{}36103414
1003595{}347802{}20110701 101201{}d{}36122109
1006750{}349928{}20110701 101207{}d{}36186596
1005394{}347644{}20110701 101208{}d{}36123040
1000763{}345817{}20110701 101214{}d{}36172758
1000829{}345869{}20110701 101214{}d{}36172758
1005701{}349120{}20110701 101231{}d{}36176468
1001817{}346620{}20110701 101249{}v{}361538
1003317{}347602{}20110701 101252{}d{}36191700
1010605{}352931{}20110701 101254{}d{}36233220
1003309{}347601{}20110701 101258{}d{}36191701
1004171{}347802{}20110701 101308{}d{}36109869
1003552{}347770{}20110701 101310{}d{}36163785
1008893{}351646{}20110701 101310{}d{}36270987
1007499{}350495{}20110701 101312{}d{}36195778
1003877{}347927{}20110701 101315{}d{}36122109
1006840{}349989{}20110701 101319{}d{}36194656
1010022{}352575{}20110701 101323{}d{}36272967
1003963{}347927{}20110701 101326{}d{}36122110
1007765{}350703{}20110701 101340{}d{}36211694
1008277{}351149{}20110701 101344{}d{}36233246
1004172{}348070{}20110701 101358{}d{}36109869
1010461{}352931{}20110701 101358{}d{}36233220
1006675{}349816{}20110701 101359{}d{}36186606
1003878{}347492{}20110701 101401{}d{}36122110
1004266{}348119{}20110701 101412{}d{}36109868
1007092{}350184{}20110701 101422{}d{}36184137
1005186{}348753{}20110701 101428{}d{}36150213
1001150{}346125{}20110701 101431{}v{}361538
1001492{}346125{}20110701 101444{}v{}361538
1006925{}350051{}20110701 101447{}d{}36194643
1007093{}350184{}20110701 101455{}d{}36184138
1006818{}349970{}20110701 101505{}d{}36194656
1002119{}346127{}20110701 101523{}v{}361538
1007057{}350154{}20110701 101524{}d{}36194642
1007143{}350229{}20110701 101525{}d{}36184137
1007094{}350184{}20110701 101527{}d{}36184139
1002424{}346398{}20110701 101532{}v{}361538
1005200{}348765{}20110701 101544{}d{}36192713
1007898{}350819{}20110701 101557{}d{}36211696
1001151{}346126{}20110701 101558{}v{}361538
1007573{}350541{}20110701 101604{}d{}36195778
1005056{}348665{}20110701 101609{}d{}36177743
1001152{}346127{}20110701 101633{}v{}361538
1009216{}351902{}20110701 101635{}d{}36208478
1008074{}350967{}20110701 101646{}d{}36211696
1004718{}348424{}20110701 101647{}d{}36192457
1007267{}350328{}20110701 101650{}d{}36184138
1009307{}351980{}20110701 101657{}d{}36227896
1003964{}347644{}20110701 101701{}d{}36122110
1010130{}352655{}20110701 101705{}d{}36272046
1008699{}351492{}20110701 101717{}d{}36211253
1002425{}346979{}20110701 101722{}v{}361538
1003705{}347491{}20110701 101730{}d{}36122110
1006144{}349450{}20110701 101734{}d{}36183920
1009650{}352266{}20110701 101740{}d{}36280294
1003965{}347231{}20110701 101749{}d{}36122108
1004173{}348071{}20110701 101754{}d{}36109868
1009078{}351786{}20110701 101757{}d{}36208472
1009087{}351786{}20110701 101758{}d{}36208473
1008255{}351118{}20110701 101802{}d{}36233246
1009656{}352272{}20110701 101804{}d{}36280292
1006947{}350071{}20110701 101823{}d{}36194643
1002820{}347232{}20110701 101825{}d{}36107286
1004099{}348031{}20110701 101829{}d{}36109064
1007185{}350264{}20110701 101830{}d{}36184137
1001493{}346402{}20110701 101834{}v{}361538
1006642{}349849{}20110701 101834{}d{}36186607
1000591{}345677{}20110701 101838{}d{}36156381
1007095{}350185{}20110701 101843{}d{}36184137
1006858{}350004{}20110701 101900{}d{}36194658
1002426{}346980{}20110701 101905{}v{}361538
1005009{}348634{}20110701 101911{}d{}36177742
1004906{}348550{}20110701 101913{}d{}36150297
1003966{}347967{}20110701 101921{}d{}36122108
1000959{}345963{}20110701 101922{}d{}36155389
1001494{}346398{}20110701 101925{}v{}361538
1008689{}351483{}20110701 101929{}d{}36270967
1007186{}350265{}20110701 101933{}d{}36184138
1008478{}351316{}20110701 101933{}d{}36233232
1011071{}353435{}20110701 101935{}d{}36227685
1005187{}348754{}20110701 101937{}d{}36192715
1001153{}346128{}20110701 101942{}v{}361538
1005983{}349330{}20110701 101942{}d{}36182566
1005057{}348666{}20110701 101943{}d{}36177743
1005226{}348765{}20110701 101951{}d{}36192713
1009908{}352485{}20110701 102030{}d{}36272024
1003373{}347644{}20110701 102035{}d{}36103414
1002821{}347233{}20110701 102037{}d{}36107287
1004137{}348050{}20110701 102043{}d{}36109064
1006841{}349990{}20110701 102045{}d{}36194656
1003596{}347803{}20110701 102049{}d{}36122110
1005809{}349206{}20110701 102119{}d{}36176416
1003392{}347566{}20110701 102122{}d{}36103414
1011047{}353411{}20110701 102125{}d{}36218385
1003157{}347491{}20110701 102212{}d{}36107287
1002427{}346134{}20110701 102216{}v{}361538
1008986{}351707{}20110701 102226{}d{}36270987
1004642{}348343{}20110701 102311{}d{}36192457
1004604{}348343{}20110701 102313{}d{}36192457
1008259{}351132{}20110701 102335{}d{}36233246
1000727{}345785{}20110701 102343{}d{}36157422
1007018{}350128{}20110701 102357{}d{}36194642
1006985{}350103{}20110701 102409{}d{}36194642
1010143{}352501{}20110701 102416{}d{}36272957
1006948{}350072{}20110701 102426{}d{}36194632
1001154{}346129{}20110701 102454{}v{}361538
1001155{}346130{}20110701 102503{}v{}361538
1010687{}353117{}20110701 102525{}d{}36283289
1006017{}349357{}20110701 102526{}d{}36164978
1006413{}349665{}20110701 102530{}d{}36183916
1007096{}350186{}20110701 102531{}d{}36184137
1007756{}350694{}20110701 102531{}d{}36211694
1001156{}346131{}20110701 102535{}v{}361538
1001818{}346621{}20110701 102540{}v{}361538
1005675{}349100{}20110701 102541{}d{}36176468
1007716{}350657{}20110701 102545{}d{}36211696
1002428{}346129{}20110701 102601{}v{}361538
1004788{}348465{}20110701 102604{}d{}36184717
1008370{}351231{}20110701 102615{}v{}362496
1004267{}347967{}20110701 102627{}d{}36109868
1008583{}351405{}20110701 102631{}v{}362513
1008806{}351586{}20110701 102631{}d{}36270988
1002429{}346404{}20110701 102634{}v{}361538
1010625{}353066{}20110701 102642{}d{}36233221
1007378{}350412{}20110701 102643{}d{}36190435
1005477{}348955{}20110701 102647{}d{}36151536
1007374{}350412{}20110701 102648{}d{}36190435
1000437{}345617{}20110701 102653{}v{}361
1002822{}347234{}20110701 102708{}d{}36107285
1003056{}347416{}20110701 102731{}d{}36107285
1010051{}352597{}20110701 102754{}d{}36272959
1008332{}351195{}20110701 102758{}d{}36213183
1002943{}347327{}20110701 102803{}d{}36107285
1006949{}350073{}20110701 102804{}d{}36194648
1006842{}349991{}20110701 102809{}d{}36194656
1004800{}348473{}20110701 102813{}d{}36198098
1002430{}346133{}20110701 102815{}v{}361538
1008561{}351386{}20110701 102821{}v{}362513
1001495{}346403{}20110701 102823{}v{}361538
1010680{}353111{}20110701 102823{}d{}36222799
1001157{}346132{}20110701 102824{}v{}361538
1001158{}346133{}20110701 102831{}v{}361538
1001496{}346404{}20110701 102833{}v{}361538
1002703{}347132{}20110701 102849{}d{}36107286
1005973{}349322{}20110701 102900{}d{}36169311
1009646{}352263{}20110701 102900{}d{}36280294
1001159{}346134{}20110701 102903{}v{}361538
1010631{}353072{}20110701 102911{}d{}36233221
1001819{}346134{}20110701 102913{}v{}361538
1001820{}346622{}20110701 102914{}v{}361538
1006518{}349758{}20110701 102917{}d{}36193865
1005424{}348913{}20110701 102918{}d{}36136917
1007097{}350187{}20110701 102918{}d{}36184139
1004512{}348278{}20110701 102925{}d{}36178949
1007268{}350329{}20110701 102941{}d{}36184138
1002120{}346802{}20110701 102946{}v{}361538
1007098{}350188{}20110701 102946{}d{}36184138
1007187{}350266{}20110701 102953{}d{}36184139
1003158{}347492{}20110701 103000{}d{}36107287
1009288{}351964{}20110701 103012{}d{}36227755
1001821{}346133{}20110701 103038{}v{}361538
1000592{}345677{}20110701 103045{}d{}36156381
1007099{}350189{}20110701 103048{}d{}36184137
1007840{}346178{}20110701 103050{}d{}36211695
1001822{}346135{}20110701 103052{}v{}361538
1001160{}346135{}20110701 103101{}v{}361538
1010153{}352485{}20110701 103101{}d{}36272024
1007500{}350496{}20110701 103103{}d{}36195779
1008166{}351050{}20110701 103115{}d{}36215651
1001161{}346136{}20110701 103122{}v{}361538
1010734{}353160{}20110701 103125{}d{}36253967
1000830{}345870{}20110701 103126{}d{}36172759
1006601{}349816{}20110701 103126{}d{}36186608
1005590{}349045{}20110701 103129{}d{}36151535
1006602{}349816{}20110701 103132{}d{}36186606
1001497{}346405{}20110701 103144{}v{}361538
1006007{}349352{}20110701 103150{}d{}36156047
1002121{}346803{}20110701 103158{}v{}361538
1005201{}348766{}20110701 103208{}d{}36192713
1003374{}347645{}20110701 103209{}d{}36109264
1003967{}347968{}20110701 103212{}d{}36122108
1002122{}346804{}20110701 103214{}v{}361538
1002431{}346804{}20110701 103232{}v{}361538
1007188{}350267{}20110701 103235{}d{}36184139
1005107{}348698{}20110701 103245{}d{}36177743
1011170{}353520{}20110701 103304{}d{}36254243
1008373{}351231{}20110701 103326{}v{}362496
1007189{}350268{}20110701 103332{}d{}36128088
1009138{}351836{}20110701 103341{}d{}36279428
1010952{}353336{}20110701 103350{}d{}36207984
1003968{}347969{}20110701 103409{}d{}36122110
1001823{}346386{}20110701 103410{}v{}361538
1010285{}352779{}20110701 103422{}d{}36233226
1005280{}348818{}20110701 103444{}d{}36179535
1011199{}353546{}20110701 103449{}d{}36243877
1006751{}348348{}20110701 103453{}d{}36186606
1003265{}347566{}20110701 103459{}d{}36124201
1010795{}353207{}20110701 103515{}d{}36223046
